Ticker,Max Profit,Average Price,Sharpe Ratio
CB,9.040009,250.06866556803385,-0.9263117344168356
CHD,6.8099976,104.3913330078125,2.4096935595359836
CI,11.100006,354.2466674804688,-1.902629563908853
CINF,6.5,118.89833323160808,-0.7587703146316098
CTAS,59.380005,669.9356669108073,2.919661784752547
CSCO,1.8999977,48.35199991861979,-2.45408256152331
C,5.790001,61.22233327229818,0.23557645905182673
CFG,3.3499985,34.56900011698405,0.7498882212567025
CLX,8.389999,145.15733286539714,-2.282875555314306
CME,10.540009,211.12166595458984,-1.2755788049742995
CMS,5.330002,59.56900011698405,3.2626507214481304
KO,4.5599976,60.41133321126302,2.3419652168762197
CTSH,2.290001,68.985666402181,-3.6895174590900193
CL,8.230003,89.01833318074544,3.8917395432251296
CMCSA,1.579998,40.02633336385091,-3.536916118507512
CMA,4.0699997,52.36799977620443,0.745074546125442
